模块,因子,计算公式／规则,数据要求,方向,当前权重／分值,缺失数据处理
用户风险分,资金来源,按选项映射为15／8／0／0分,风险问卷单选,闲置自有资金提高承受分；应急或融资资金触发限制,0—15分,问卷未完成则不能进入分析
用户风险分,应急储备,不足3个月=0；3—6个月=8；6个月以上=15,风险问卷单选,储备越充足，风险承受分越高,0—15分,问卷未完成则不能进入分析
用户风险分,最早用款时间,1周内／1个月内／3个月内／1年内／3年内／无明确时间=0／3／7／12／15／15,风险问卷单选,资金可使用时间越长，风险承受分越高,0—15分；同时限制可选持有周期,问卷未完成则不能进入分析
用户风险分,亏损后的实际反应,立即卖出／大部减仓／复核／持有／条件允许时增加=1／4／8／11／13,风险问卷单选,能按计划复核并承受波动时分值较高,1—13分,问卷未完成则不能进入分析
用户风险分,最大可承受损失,≤5%／5%—10%／10%—20%／20%—30%／>30%=0／4／8／12／15,风险问卷单选,承受区间越高，风险分越高；同时约束持仓亏损边界,0—15分,缺失时旧快照按10%—20%处理
用户风险分,投资目标,保值／稳健收益／长期增值／波段／短线=0／3／6／8／10,风险问卷单选,收益目标越进取，风险分越高,0—10分；另有持有期先验,问卷未完成则不能进入分析
用户风险分,收入稳定性,不稳定／较稳定／稳定=2／7／10,风险问卷单选,收入越稳定，风险承受分越高,2—10分,问卷未完成则不能进入分析
用户风险分,投资经验,无经验／不足1年／1—3年／3年以上=0／2／4／5,风险问卷单选,经验越长，知识分越高；不等同于风险承受力,0—5分；短期周期可再减6分,问卷未完成则不能进入分析
周期选择约束,交易频率,几乎每天或短线目标时标记为活跃交易型,风险问卷单选,只影响用户类型，不直接增加风险分,0分,缺失时无法完成问卷
周期选择约束,每日看盘时间,短周期且不足15分钟时，周期选择分-9,风险问卷单选,看盘时间不足降低短期周期可执行性,0或-9分,缺失时无法完成问卷
周期选择约束,退出纪律,短周期且规则缺失或经常改变时，周期选择分-7,风险问卷单选,纪律不足降低短期周期可执行性,0或-7分,缺失时无法完成问卷
适配与仓位,可投资资产区间,用区间代表值作为仓位金额分母,风险问卷单选,不预测涨跌；决定金额上限和集中度,规则变量,问卷未完成则不能进入分析
适配与仓位,现有最高单股集中度,30%—50%或>50%时单股上限×0.60,风险问卷单选,集中度越高，新增仓位上限越低,乘数1.00或0.60,缺失时无法完成问卷
适配与仓位,计划投入／现有风险敞口,计划金额÷可投资资产；已持仓时合并现有市值,用户本次填写,占比过高触发安全限制或集中度提示,规则变量,金额≤0不允许提交；成本缺失时不编造收益率
适配与仓位,杠杆使用,选择“是”时加入风险警示,本次分析单选,杠杆提高风险,当前为警示，不直接加减风险分,缺失默认不使用杠杆
问卷保留项,外汇波动接受度,当前只记录并展示，尚未进入数值评分,风险问卷单选,后续可用于美股／港股汇率风险适配,0分（待深化）,缺失时无法完成问卷
股票风险分,近一年年化波动率,"clip((σ252-12%)/58%×35,0,35)",至少约120日收益；优先252日,越高表示股票风险越高,35%,缺失时使用20分中性偏高替代
股票风险分,近五年或上市以来最大回撤,"clip((abs(min(P/历史峰值-1))-12%)/68%×35,0,35)",全部可得日线收盘价,回撤越深，风险越高,35%,行情不足时按已有全部数据并降低完整度
股票风险分,下行波动率,负收益样本标准差×√252；再映射为0—20分,近一年日收益中的负收益,越高表示下行风险越高,20%,无负收益记0；无法计算时使用10分
股票风险分,Beta,"Cov(r股票,r基准)/Var(r基准)；映射为0—10分",股票与基准至少60个对齐交易日,Beta越高，系统性风险分越高,10%,缺失时Beta按1.0并降低数据完整度
基本面评分,净资产收益率ROE,≥15%:+10；8%—15%:+5；<0:-12,最近可得财报,越高越正面；负值为风险,+10至-12分,缺失则本项0分
基本面评分,净利率,≥15%:+8；5%—15%:+3；<0:-10,最近可得利润和收入,越高越正面；负值为风险,+8至-10分,缺失则本项0分
基本面评分,净利润同比,≥15%:+8；<0:-9,连续可比报告期净利润,增长为正面，下降为负面,+8至-9分,缺失则本项0分
基本面评分,营业收入同比,≥10%:+6；<0:-6,连续可比报告期收入,增长为正面，下降为负面,+6至-6分,缺失则本项0分
基本面评分,资产负债率,≥75%:-10；55%—75%:-4；≤35%:+4,资产和负债,在未做行业中性化前，过高偏负面,+4至-10分,缺失则本项0分
基本面评分,经营现金流／净利润,≥1:+7；<0:-9,经营现金流和净利润,现金覆盖越好越正面,+7至-9分,缺失则本项0分
基本面评分,市盈率TTM,≤0:-7；>80:-6；0—20:+3,最新价格和每股收益／公开估值,极高或亏损偏负面；较低仅小幅加分,+3至-7分,缺失则本项0分；可测指标少于2项时基本面不参与总分
基本面评分,投入资本回报率ROIC,NOPAT÷平均投入资本；≥15%:+6；8%—15%:+3；0—4%:-3；<0:-6,营业利润、所得税、债务、权益、现金，优先连续两期,衡量公司使用债权和股权资本创造经营回报的效率,+6至-6分,任一关键字段缺失则本项0分，不使用行业均值代填
基本面评分,自由现金流FCF,经营现金流-资本开支；FCF为正:+2；且FCF／营收≥10%:+5；FCF<0:-6,经营现金流、资本开支、营业收入,持续为正说明经营产生的现金在维持投资后仍有剩余,+5至-6分,经营现金流或资本开支缺失则本项0分
基本面评分,毛利率／营业利润率趋势,本期利润率-上期利润率；两项改善:+5；单项改善:+2；任一下降≥3个百分点:-5；两项小幅下降:-4,连续两期收入、毛利和营业利润,改善表示盈利质量增强，下降表示成本或竞争压力上升,+5至-5分（两项合并为一组，避免重复计分）,仅一项可计算时按该项；两项均缺失则0分
基本面评分,估值历史分位,当前正市盈率在本公司历史正市盈率样本中的百分位；≤20%:+4；≤40%:+2；≥75%:-3；≥90%:-5,当前市盈率及同公司历史市盈率；A股至少60个日样本，美国SEC至少3个披露时点样本,低分位仅表示相对自身较便宜，高分位表示估值容错较低,+4至-5分,样本不足、当前亏损或估值不可比时本项0分
宏观与市场,基准趋势状态,现价同时高于MA60和MA250且60日收益>0记60分；同时低于且收益<0记38分；其余50分,沪深300／SPY／恒生指数日线,市场越强，对个股时点越正面,乘0.08或0.10，最终最多±2分,基准缺失时按50分且降低数据完整度
宏观与市场,基准60日年化波动,>30%时市场分-5,基准近60日日收益,高波动偏负面,-5分后再进入宏观权重,缺失则不扣分
宏观与市场,公开利率方向,A股LPR／美股10年国债收益率下降:+3；上升:-3；持平0,最近公开利率序列,利率下降小幅正面，上升小幅负面,+3／0／-3后进入宏观权重,接口失败时本项0分并备注
持有期时点评分,基础分,每个可分析持有期从50分开始,满足该周期最低历史行数,中性起点,50分,历史行数不足则该周期不评分
持有期时点评分,价格相对快速均线,与快慢均线合并：两个信号同为正时趋势块+10，同为负时-10，否则0,按周期设置的fast窗口,站上均线是趋势确认的一部分,不再独立±8；与下一项共用±10分,窗口不足则该周期不可用
持有期时点评分,快慢均线结构,与价格位置合并：两个信号同为正时趋势块+10，同为负时-10，否则0,按周期设置的fast／slow窗口,多头结构是趋势确认的一部分,不再独立±8；与上一项共用±10分,窗口不足则该周期不可用
持有期时点评分,同周期动量,"clip(Rh÷(2×近60日波动×√h),-1,1)×8",当前与h日前收盘价、近60日日收益波动,正收益为正面，但需按股票正常波动调整,原始最多±8分；再乘历史验证系数1／0.5／0,收益或波动不可得时该周期不可用
持有期时点评分,相对基准收益,"clip((R股票,h-R基准,h)÷(2×正常波动),-1,1)×7",股票和对应基准同周期价格,跑赢基准为正面,原始最多±7分；再乘历史验证系数1／0.5／0,基准缺失时0分并降低完整度
